F,GM,NVDA,ALB,QCOM
1.0098225,1.0051187,1.0071366,1.0071837,1.0080454
0.9960251,1.0079129,0.9733253,0.9989775,1.0025321
0.9932385,0.9929099,0.95699024,0.98383343,1.0010549
0.9904024,0.98664534,1.025692,0.99929845,1.015203
0.9894712,0.9915339,1.0033492,1.0281562,1.0010854
1.0027554,0.99788165,0.9970195,0.9851091,0.999031
1.0010945,1.0171777,1.0152575,1.0248492,1.0079242
0.9967342,1.0064965,1.0178037,1.0242615,1.0037621
0.99832606,0.9937211,0.9905753,0.9887645,0.9963113
1.0004938,0.9869772,0.9690875,1.0020615,0.9930871
1.0141156,0.994205,0.9814572,1.0081326,1.0106602
1.0051109,0.99940026,0.98772866,1.0158501,1.0086331
0.9965307,0.99950445,1.0029111,1.0060992,0.9954398
1.000671,1.0020101,1.0271541,1.0020486,0.993342
0.98731977,0.9993915,1.0342553,1.0024902,1.0037291
1.0011951,0.9903006,1.0209162,0.9994375,1.0085183
0.99794173,0.97597593,0.98744816,0.9843036,0.99802834
0.998304,0.98277575,1.0287284,1.0140969,1.0100577
0.98764396,0.99520636,1.033122,0.99404854,0.9998751
0.97710264,0.9895533,1.0289588,0.9968926,1.0018685
1.0216653,1.0142642,0.9893108,0.99122185,1.0046442
1.0081638,0.9995615,0.9767765,1.0007813,1.0057728
0.99271584,0.98757404,0.95332533,0.98471785,0.99332607
0.9910673,0.98601234,0.94948834,0.98790836,0.997921
0.9906983,0.9899866,0.96735483,0.9837811,0.9962605
0.9877324,0.98839283,0.97064793,0.97484624,0.9852133
0.9898022,1.0010928,0.9950354,0.9903954,0.9891177
0.99490666,1.0060246,0.98527926,0.99727774,0.99449444
0.9949351,0.9953391,0.994305,0.9959589,0.99803317
0.99294597,0.9917785,0.9991026,0.98664176,0.9958483
0.9912589,0.99687034,1.0021495,0.9939097,1.0039953
1.0129424,0.9906808,0.99818283,1.0095071,1.0367106
1.0183768,0.9834639,1.0060445,0.99803776,1.0101535
1.0143383,1.0005904,1.0077565,0.99341446,1.0057678
1.0061803,0.99390274,1.0059564,0.9976218,0.9990207
1.0098011,1.0030847,1.0090344,1.013532,1.0029697
0.9874492,1.0006053,1.0155082,1.005744,1.008688
0.9923064,0.96233255,0.99571854,1.0035765,0.99875885
1.0027436,0.96895164,1.0064164,1.004107,0.9951715
1.0187745,0.996787,1.005593,0.9862907,0.99841076
0.9961409,0.99424374,0.99486387,0.989502,1.0028161
0.99907595,0.97694343,0.97844785,1.0101242,1.0055856
